Dates,03-07-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,0,96.8,L3.1,17.1,5136,L2.1,5133,L185,19.2,137.5,146.4,L8.6,36.7,L1.2,L3.6,-0.6,23.0
6 Iron,1,91.6,L2.8,12.2,3830,R10.4,3767,R691,9.8,114.9,135.7,R0.3,24.0,L3.6,L2.6,-1.9,16.9
6 Iron,2,97.0,R1.8,8.9,3289,R20.3,3085,R1140,6.7,111.0,140.9,R12.2,17.7,L1.8,R2.7,0.5,12.0
6 Iron,3,91.1,L4.6,19.9,4827,L1.7,4825,L143,19.6,127.9,136.3,L10.7,38.0,L3.7,L4.9,-0.3,26.5
6 Iron,4,93.4,L8.3,18.3,4404,L11.4,4317,L869,18.2,131.7,142.5,L25.8,35.6,L3.1,L9.6,-3.0,25.1
6 Iron,5,99.7,L9.8,18.4,4408,L24.3,4019,L1810,20.5,142.9,153.4,L42.4,37.0,R1.4,L12.6,-1.7,25.0
6 Iron,6,91.5,L2.4,22.2,4265,L3.3,4258,L244,22.4,131.6,139.6,L7.7,40.3,R0.3,L3.1,0.7,29.2
6 Iron,7,92.3,L0.3,18.8,5159,R10.8,5068,R964,18.7,128.2,136.6,R7.6,37.2,L1.5,L0.0,0.5,24.9
6 Iron,8,99.9,L6.2,19.9,5820,L6.4,5784,L650,25.0,143.0,147.6,L20.5,43.3,L4.0,L6.7,-1.6,26.9
6 Iron,9,97.0,L6.4,14.9,4960,L1.5,4958,L130,16.3,135.5,147.0,L15.1,33.0,L5.6,L6.6,-2.7,20.7
6 Iron,10,99.9,L4.8,19.1,5228,L29.1,4570,L2540,21.3,140.2,148.6,L35.6,38.8,R5.9,L7.4,1.7,25.0
6 Iron,11,98.4,L6.2,19.2,4148,L28.1,3661,L1950,20.3,140.0,151.0,L36.0,36.9,R1.6,L8.1,-0.3,25.7
6 Iron,12,100.8,L10.3,11.2,4108,L24.6,3735,L1708,10.7,129.7,150.9,L36.6,24.3,L0.0,L12.8,0.2,15.0
6 Iron,13,102.0,L3.7,11.1,4081,R11.4,4001,R806,12.0,137.6,156.6,R0.3,26.0,L5.4,L3.3,-0.8,15.2
6 Iron,14,101.3,L5.7,13.5,4626,R4.9,4608,R397,16.0,143.2,156.8,L8.8,31.6,L5.2,L5.1,-2.9,19.0
6 Iron,15,102.3,L6.9,22.5,4977,L21.4,4635,L1813,28.7,150.1,155.5,L38.4,44.6,0.0,L8.6,-0.3,30.0
6 Iron,16,98.3,L5.1,17.9,5169,L1.8,5166,L159,21.1,141.4,149.3,L13.2,38.4,L3.5,L5.5,-2.8,24.6
6 Iron,17,98.3,L3.0,18.5,6355,R9.5,6268,R1048,21.8,136.9,141.9,R2.3,40.7,L5.9,L2.3,-5.1,26.0
6 Iron,18,106.0,L6.6,19.4,4790,L3.0,4783,L249,27.7,160.2,166.5,L20.3,42.7,L5.2,L7.0,-2.7,26.6
6 Iron,19,97.1,L6.1,19.1,5148,L2.8,5142,L249,22.0,139.8,146.9,L16.0,39.7,L4.0,L6.6,-2.1,25.9
6 Iron,20,92.7,L1.8,19.4,5094,R8.8,5034,R779,19.8,130.2,138.1,R3.2,38.3,L3.5,L1.4,-1.0,26.0
6 Iron,21,96.8,L3.6,17.8,5875,R0.1,5875,R14,20.2,135.4,142.2,L7.7,38.4,L3.9,L3.5,-1.1,24.0
6 Iron,22,106.5,L8.6,18.3,4894,L11.2,4801,L950,26.0,159.7,166.7,L34.4,41.3,L3.2,L10.0,-0.8,24.7
