Dates,03-13-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
PW,0,88.2,L1.1,26.4,7250,R1.9,7246,R237,74.3,115.12961685240423,166,L0.7,46.9,0,,-0.5,None
PW,1,87.2,L0.1,28.3,6774,R6.2,6734,R737,77.8,112.41899414628715,167.2,R4.6,48.2,L3.4,,0.9,None
PW,2,85.7,R0.1,27.1,5924,R6.3,5889,R645,70.7,110.23626697391147,166.5,R4.6,45.9,L2.7,,-0.5,None
PW,3,92.5,R1.4,29,9200,R11.2,9023,R1794,91.4,120.93617312155713,169.9,R12.9,51.6,L3.1,,-0.7,None
PW,4,92.2,L7.6,18.1,5499,R0.3,5499,R29,51.1,124.49109899474807,175.6,L15.7,36.6,L2.7,,-1.5,None
PW,5,89.5,L0.7,27.5,5800,L5.6,5772,L568,79.1,118.15414880593902,177.2,L5.9,47.4,R1.9,,1.7,None
PW,6,83.3,L2.9,25.7,3624,L22.8,3341,L1405,57.6,105.19711036724165,173.2,L17.9,40.5,R1.4,,7.5,None
PW,7,91.3,L0.3,27.6,6524,L11.2,6399,L1272,82.7,121.3092799696155,177.5,L9.9,48.4,R3.4,,2.6,None
PW,8,96.5,R0.5,26.3,7299,L3.4,7286,L437,89.9,131.91711639947488,185.5,L2.2,49.2,R2.6,,-0.3,None
PW,9,91.9,L0.9,22,5824,R0.6,5824,R63,64.5,124.9154104164137,178,L1.4,42.1,R3.2,,0.9,None
PW,10,93.5,R0.2,27.9,6650,L5.9,6614,L687,89.1,125.30309195587269,182.7,L4.8,49.5,R2.5,,1.5,None
PW,11,86.4,R1.7,24.4,6875,R0.9,6874,R112,64.2,111.7493957264219,161.6,R3.9,43.9,R4.5,,-0.3,None
PW,12,88.2,L0.1,22.5,6924,L3.1,6914,L377,61,115.7161454337522,163.4,L2.5,42.2,R3.7,,-0.8,None
PW,13,90.2,R1.4,26.7,6849,L8.4,6775,L1005,78.2,119.42299348474096,172.8,L3.9,47.5,R5.2,,2.2,None
PW,14,84.8,L2.6,21.8,6500,R2.2,6495,R248,53,107.58905101621986,156.3,L3.5,39.8,R0.3,,-1.6,None
PW,15,93.7,L6.2,20.2,6075,L9.1,5999,L956,60.7,128.6712380545631,178.6,L20.8,40.5,R0.4,,-0.1,None
PW,16,91.1,L3.4,25.3,5849,L16.2,5616,L1636,73.1,122.54717461490556,178.7,L19.8,45.4,R2.1,,1.2,None
PW,17,86.8,L2.8,25.7,7724,R1.9,7720,R252,69.4,112.04240404729497,159.9,L4,45.9,L2.8,,-0.7,None
PW,18,93.5,R6,21.3,5925,L8.7,5856,L901,64.5,128.47116586838405,180.5,R5.8,41.8,R7.9,,0.3,None
PW,19,94.2,R2.7,21,5975,L8.1,5915,L844,64.8,130.01505704388327,181.9,L1,41.8,R5,,0.3,None
