Dates,03-06-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
7 Iron,0,98.2,L5.4,21.9,3432,L10.4,3375,L620,24.0,140.2,149.3,L20.8,40.7,L1.6,L6.3,2.1,28.6
7 Iron,1,94.5,L6.9,21.7,4026,L11.7,3942,L817,22.0,131.2,139.5,L23.7,40.2,L1.5,L8.3,1.4,28.4
7 Iron,2,91.2,L4.5,0.3,1755,R12.0,1717,R365,0.0,0.7,111.8,L0.0,0.3,L3.7,L3.9,-1.4,1.3
7 Iron,3,98.7,L7.5,20.1,5046,L2.4,5041,L215,23.3,137.4,143.6,L18.5,41.5,L5.6,L7.9,-1.9,27.3
7 Iron,4,99.3,L6.4,14.4,4734,R1.1,4733,R89,15.6,133.6,145.8,L12.7,32.6,L6.6,L6.3,-1.0,19.6
7 Iron,5,99.1,L7.1,15.3,5134,R5.7,5109,R514,16.9,133.7,143.5,L10.3,34.8,L8.3,L6.8,-2.0,21.0
7 Iron,6,101.4,L4.5,23.7,4779,L5.3,4758,L437,29.7,142.4,146.4,L15.6,47.5,L1.9,L5.2,0.9,31.3
7 Iron,7,100.4,L3.8,19.6,6035,R7.4,5984,R781,23.6,136.0,140.3,L1.1,43.2,L7.5,L2.9,-2.9,26.9
7 Iron,8,74.5,L7.4,-0.2,1106,R17.0,-1057,R323,0.0,0.5,94.2,L0.1,0.2,L2.2,L8.0,-3.7,1.2
7 Iron,9,105.2,L7.8,19.0,4407,L9.8,4342,L750,24.8,151.3,159.0,L28.7,41.0,L4.2,L8.7,-1.3,25.8
7 Iron,10,97.4,L4.7,19.0,5547,R4.0,5533,R388,21.2,132.4,138.5,L6.3,40.1,L6.3,L4.2,-2.4,25.9
7 Iron,11,103.9,L9.7,20.6,4714,L12.6,4601,L1025,26.3,148.1,154.4,L35.5,42.9,L3.5,L11.2,-0.1,27.4
7 Iron,12,97.3,L7.3,12.4,4995,R13.8,4851,R1189,11.9,123.1,137.4,L5.0,28.1,L8.9,L6.9,-3.7,17.6
7 Iron,13,97.1,L1.5,20.9,5385,R13.2,5243,R1229,23.1,132.2,137.5,R8.6,42.6,L8.1,R0.2,-4.3,29.0
7 Iron,14,102.2,L7.2,18.6,4403,L8.2,4359,L626,22.5,144.8,153.4,L24.4,39.3,L3.2,L8.3,-4.1,25.9
7 Iron,15,96.4,L3.1,22.7,4850,R0.4,4850,R30,25.2,133.3,138.1,L6.3,44.8,L3.2,L3.1,-0.3,30.2
7 Iron,16,107.6,L7.4,20.5,5062,L7.6,5017,L669,29.1,154.6,159.5,L27.1,44.9,L3.9,L8.3,-0.1,27.4
7 Iron,17,94.4,L3.5,21.6,6358,R5.8,6325,R639,22.6,123.8,127.3,L1.9,43.8,L4.7,L3.1,-2.1,29.2
7 Iron,18,101.4,L4.9,21.2,4690,L10.7,4609,L867,25.8,143.8,149.8,L21.8,43.0,R0.3,L6.3,0.9,27.9
7 Iron,19,96.1,L11.5,3.3,2531,L39.5,1952,L1612,0.8,46.8,102.1,L11.0,4.1,L0.2,L14.3,1.0,4.5
7 Iron,20,92.8,L3.8,20.8,3837,L13.3,3734,L884,19.8,127.1,137.0,L17.2,38.1,R1.0,L4.9,1.1,27.4
7 Iron,21,104.0,L6.1,20.3,5166,L0.0,5166,L2,26.9,147.7,152.8,L14.4,43.9,L6.1,L6.1,-2.3,27.7
7 Iron,22,96.8,L7.5,13.8,4266,R0.5,4266,R39,13.5,127.0,141.5,L14.7,29.8,L7.1,L7.0,-1.1,18.9
7 Iron,23,94.2,L7.2,20.1,4144,L11.6,4059,L835,19.9,129.0,138.5,L23.4,38.0,R0.5,L9.1,2.1,26.2
7 Iron,24,99.8,L5.1,14.8,5035,R6.7,5000,R589,16.6,134.7,145.3,L5.4,34.0,L5.8,L5.0,-2.0,20.4
7 Iron,25,102.8,L5.9,20.1,5150,L7.9,5101,L711,25.6,145.0,150.5,L21.8,43.0,L1.7,L7.0,-1.1,27.0
7 Iron,26,102.9,L5.4,21.3,5250,L14.4,5085,L1307,26.9,143.7,148.2,L27.1,45.0,R1.2,L6.6,0.1,28.4
7 Iron,27,97.6,L8.3,15.4,4522,L11.8,4426,L926,15.7,130.3,142.4,L26.0,32.7,L1.1,L10.1,-0.7,20.7
7 Iron,28,105.7,L6.9,1.8,1947,L44.6,1385,L1368,0.7,30.7,99.0,L4.3,2.1,R3.8,L9.6,1.3,2.5
7 Iron,29,99.5,L13.1,6.3,2834,L46.4,1953,L2054,2.6,76.0,120.7,L23.7,9.5,R4.1,L17.4,1.1,8.5
7 Iron,30,96.5,L3.4,18.0,4525,L13.0,4409,L1017,18.5,131.4,141.4,L17.4,36.4,R2.1,L4.8,0.5,23.9
7 Iron,31,98.3,L3.7,21.1,4908,R0.9,4908,R73,24.3,137.5,143.4,L7.2,42.5,L3.4,L3.4,-0.7,28.3
7 Iron,32,82.9,L6.8,18.7,3149,L30.0,2727,L1575,11.5,98.5,115.6,L22.1,29.2,R3.6,L9.5,1.7,24.3
7 Iron,33,99.1,L8.4,19.7,3883,L22.0,3602,L1451,20.9,137.5,147.7,L35.8,38.1,R1.9,L10.9,0.5,26.2
7 Iron,34,101.0,L7.7,11.5,4484,R1.0,4483,R80,12.3,131.5,147.7,L15.3,27.5,L5.5,L7.5,-2.7,16.2
7 Iron,35,104.2,L10.5,18.1,4525,L15.2,4368,L1183,22.5,147.5,156.0,L39.1,39.3,L3.2,L12.4,-3.5,25.1
