Dates,03-08-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,0,77.4,L2.4,20.1,5227,R9.8,5151,R889,13.0,96.2,105.9,R0.7,33.2,L4.7,L1.9,-2.0,27.0
6 Iron,1,77.9,R1.1,23.2,3048,R15.7,2934,R824,15.1,102.0,115.2,R8.3,34.7,L5.1,R2.6,2.1,29.9
6 Iron,2,82.4,L2.7,22.8,4140,R3.3,4133,R240,17.9,112.4,121.6,L2.9,37.8,L4.1,L2.3,1.1,29.8
6 Iron,3,86.5,L8.0,15.1,5268,R1.2,5266,R114,12.0,110.2,122.7,L13.3,29.5,L8.3,L7.9,-3.8,21.2
6 Iron,4,97.5,L8.3,18.1,5291,R0.2,5291,R23,21.0,139.5,146.9,L18.1,38.7,L8.4,L8.2,-2.0,24.7
6 Iron,5,83.7,L1.1,23.1,5319,R10.3,5234,R948,19.0,111.5,117.1,R4.6,41.1,L0.8,L0.6,2.0,29.9
6 Iron,6,93.9,L4.1,10.2,4221,R21.5,3927,R1546,7.8,110.8,135.2,R3.2,20.5,L7.3,L3.3,-2.6,14.5
6 Iron,7,103.7,L8.6,13.3,5750,R4.3,5733,R432,17.7,146.3,155.7,L15.9,34.5,L8.6,L8.3,-4.5,19.1
6 Iron,8,102.5,L6.1,9.3,3987,R13.0,3884,R898,9.6,132.0,155.2,L4.2,22.3,L7.1,L5.9,-1.3,13.0
6 Iron,9,95.2,L5.2,17.2,4183,L8.8,4134,L638,17.7,134.9,147.1,L17.8,34.4,R0.2,L6.5,0.8,22.8
6 Iron,10,98.5,L7.7,-1.2,2653,R46.5,1827,R1924,0.5,0.7,77.1,L0.1,1.2,L8.8,L7.4,-3.0,-0.2
6 Iron,11,94.9,L3.6,12.6,5631,R25.0,5103,R2381,11.2,118.9,133.3,R8.6,27.2,L9.3,L2.2,-4.0,17.9
6 Iron,12,91.9,L3.6,12.9,5188,R15.7,4993,R1406,11.1,116.6,131.5,R2.8,27.0,L10.7,L1.8,-4.1,18.4
6 Iron,13,57.0,L0.4,5.3,1985,L40.8,1501,L1298,0.4,17.2,50.7,L0.5,5.6,L3.0,L0.5,0.1,7.3
6 Iron,14,87.9,R2.2,12.2,5684,R42.2,4214,R3815,7.1,91.8,113.5,R17.8,21.2,L9.5,R5.1,-3.4,17.2
6 Iron,15,61.0,L7.3,4.2,4540,R46.1,3146,R3272,0.4,17.4,52.2,L1.5,4.5,L4.8,L7.2,-4.2,7.0
6 Iron,16,51.0,R16.4,-5.5,498,R17.7,-474,R151,0.3,0.7,27.3,R0.2,5.8,L0.2,R20.6,-0.8,-6.3
6 Iron,17,105.9,L5.1,7.8,3325,L10.7,3267,L615,8.1,133.1,161.5,L17.5,19.0,L0.6,L5.8,1.0,10.5
6 Iron,18,82.3,L19.9,1.5,4546,R11.7,4451,R924,0.3,28.0,77.3,L8.4,2.0,L3.0,L23.4,1.0,2.3
6 Iron,19,108.8,L5.6,0.3,2185,R17.5,2084,R656,0.4,0.8,79.0,L0.1,0.3,L7.0,L5.2,0.3,0.9
6 Iron,20,110.4,L10.0,6.2,3381,L16.5,3243,L957,6.6,133.9,166.5,L31.2,16.4,L1.7,L12.1,0.7,8.5
6 Iron,21,101.1,L5.8,21.1,5738,R3.9,5725,R389,27.5,145.8,149.6,L9.2,45.4,L7.4,L5.3,-0.8,28.3
6 Iron,22,99.7,L3.2,20.0,6743,R12.7,6577,R1487,24.5,138.2,141.6,R5.6,43.7,L6.3,L2.4,-2.4,27.3
6 Iron,23,106.6,L9.5,3.1,2510,L2.1,2508,L93,1.8,90.5,144.1,L14.1,6.0,L4.9,L10.6,-0.5,4.8
6 Iron,24,101.0,L3.7,15.9,5122,R8.4,5067,R747,19.5,145.1,154.5,L0.7,36.3,L6.7,L2.9,-0.6,21.4
6 Iron,25,106.9,L7.6,14.5,5404,R2.4,5400,R223,21.1,156.7,164.9,L16.5,37.4,L6.9,L7.1,-1.2,19.9
6 Iron,26,49.1,R6.1,10.5,2153,L3.0,2150,L113,1.2,24.0,47.9,R2.3,11.3,R5.7,R5.5,-0.4,14.1
6 Iron,27,108.0,L4.1,14.0,4112,R2.6,4108,R189,19.5,160.4,173.4,L7.7,34.2,L2.5,L3.8,2.1,18.4
6 Iron,28,105.5,L2.6,24.2,6905,R13.7,6710,R1630,34.3,147.1,148.6,R10.6,50.1,L9.2,L0.9,-2.1,32.8
6 Iron,29,106.7,L3.6,24.6,5707,R4.2,5692,R414,36.9,155.0,156.7,L3.5,50.9,L4.7,L3.3,-0.1,32.8
6 Iron,30,103.9,L5.9,19.3,6562,L3.5,6550,L400,26.7,147.6,150.9,L17.8,44.7,L2.8,L6.7,0.0,25.8
6 Iron,31,100.7,L5.0,0.4,3079,R43.0,2253,R2099,0.3,0.7,69.1,L0.1,0.4,L6.7,L4.6,-1.0,1.3
6 Iron,32,113.1,L8.7,21.4,5275,L12.9,5143,L1174,35.7,169.8,173.0,L40.9,48.8,L2.8,L10.2,0.9,28.4
6 Iron,33,105.5,L5.5,18.6,5316,R5.5,5292,R507,26.5,156.8,162.6,L7.4,42.4,L6.4,L5.2,0.4,24.8
6 Iron,34,103.5,L7.3,17.5,5320,R1.9,5316,R180,23.7,152.3,159.0,L15.7,40.3,L6.9,L6.9,-1.0,23.6
6 Iron,35,104.8,L8.1,17.4,5624,R2.9,5617,R281,24.4,153.4,159.6,L16.5,40.9,L7.8,L7.7,-1.1,23.6
6 Iron,36,106.6,L6.6,19.7,6076,L3.2,6067,L337,29.3,155.1,158.5,L20.0,45.9,L3.5,L7.3,0.1,26.4
6 Iron,37,107.3,L6.7,23.8,5263,L6.1,5234,L556,35.9,158.4,160.8,L24.4,50.0,L2.1,L7.8,1.5,31.3
6 Iron,38,108.0,L6.3,21.1,5666,L0.1,5666,L10,32.4,159.4,162.2,L16.1,47.7,L4.2,L6.8,-1.1,28.4
6 Iron,39,100.7,L6.1,18.9,5740,R6.0,5709,R597,24.1,145.0,150.7,L8.0,41.4,L7.0,L5.8,-0.6,25.4
6 Iron,40,101.3,L15.3,10.6,3824,L33.4,3194,L2103,9.0,122.2,141.1,L46.4,21.4,L0.3,L19.0,1.1,14.1
6 Iron,41,111.7,L10.4,19.6,5130,L12.5,5009,L1107,31.5,169.3,174.3,L44.0,45.0,L4.2,L12.0,-2.1,26.8
6 Iron,42,106.8,L8.7,17.7,5671,L8.5,5609,L833,26.0,157.5,163.0,L31.5,42.1,L4.2,L9.8,0.0,23.7
6 Iron,43,101.0,L3.2,24.1,5177,R1.8,5175,R165,31.7,147.1,150.0,L5.5,48.4,L3.8,L3.0,2.1,31.5
6 Iron,44,49.5,R16.6,8.1,993,R17.1,-949,R292,0.7,17.9,44.0,R4.8,8.5,R2.1,R20.2,-3.6,11.8
6 Iron,45,115.5,L3.1,9.7,5206,R25.2,4711,R2215,14.7,159.9,175.1,R17.7,29.0,L6.5,L2.3,-2.2,13.9
6 Iron,46,113.7,L10.1,4.4,2780,L13.8,2700,L662,4.0,125.7,167.6,L26.5,10.8,L3.3,L11.8,0.8,6.0
6 Iron,47,114.7,L9.6,12.9,4541,L10.9,4459,L856,20.8,171.9,183.7,L38.9,35.1,L2.3,L11.4,0.6,17.3
6 Iron,48,112.1,L8.5,7.7,3882,L7.4,3850,L499,10.3,150.9,174.8,L26.5,22.3,L4.2,L9.6,-1.9,11.1
6 Iron,49,102.7,L5.3,20.9,7414,R14.8,7169,R1890,27.4,141.5,143.9,R4.2,45.9,L10.7,L3.9,-1.6,28.3
6 Iron,50,105.1,L4.1,21.1,6474,R2.6,6467,R298,30.2,150.0,152.6,L6.8,47.2,L5.3,L3.8,-0.1,28.2
6 Iron,51,30.9,R1.0,28.4,4334,L44.6,3087,L3042,2.7,18.3,23.8,L0.6,30.7,R2.1,R0.8,2.5,35.9
6 Iron,52,87.4,L1.3,-1.4,1763,R44.2,-1264,R1229,0.4,0.6,62.9,L0.0,1.4,L3.4,L0.7,0.9,-1.5
6 Iron,53,95.3,L5.5,22.1,4665,L8.9,4609,L720,24.6,138.7,145.3,L20.1,42.0,L1.1,L6.7,0.3,29.2
6 Iron,54,86.5,L4.4,21.0,3829,L16.7,3668,L1098,17.4,118.7,130.1,L18.3,35.9,R3.1,L6.3,1.5,27.4
6 Iron,55,113.4,L6.7,23.3,4733,L14.8,4576,L1207,38.3,171.7,175.1,L38.4,49.7,R0.4,L8.5,2.1,30.6
6 Iron,56,83.5,L4.9,20.4,2919,L6.5,2900,L329,15.0,112.2,127.0,L11.8,32.7,L1.4,L5.7,-0.4,27.0
6 Iron,57,105.8,L2.1,25.6,6091,R0.1,6091,R15,37.6,150.8,152.5,L4.8,51.6,L2.1,L1.9,2.4,33.4
6 Iron,58,107.1,L3.8,24.5,5218,R3.5,5208,R314,36.9,157.9,160.5,L5.1,50.6,L5.4,L3.1,-1.2,32.9
6 Iron,59,110.3,L3.3,19.0,6125,R10.3,6026,R1096,30.4,161.5,164.8,R4.8,46.1,L5.8,L2.7,-0.7,25.7
6 Iron,60,99.4,L1.9,24.2,6257,R7.7,6201,R839,30.5,139.5,141.5,R3.9,48.5,L2.4,L1.8,2.5,31.5
6 Iron,61,102.2,L5.9,23.2,4723,L7.4,4684,L609,30.9,151.8,156.1,L22.3,46.9,L2.3,L6.8,2.1,30.4
6 Iron,62,112.2,L11.2,17.0,5538,L10.2,5451,L977,28.1,168.2,173.7,L42.9,42.9,L2.8,L13.4,0.1,22.9
