Dates,03-11-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
9 Iron,0,89.1,L0.5,24.9,8441,R7.5,8368,R1106,25.3,118.4,119.4,R5.7,46.7,L2.6,R0.0,-2.3,33.5
9 Iron,1,96.5,L2.6,27.0,7741,L0.4,7741,L56,32.5,130.0,130.9,L5.9,50.5,L1.4,L3.0,-1.3,36.1
9 Iron,2,93.3,L3.1,25.7,8576,R0.8,8575,R122,29.1,125.1,125.7,L5.4,48.9,L2.5,L2.5,-1.6,34.4
9 Iron,3,93.5,L1.2,27.2,7799,R4.5,7775,R606,30.6,125.3,126.1,R2.0,49.8,L2.4,L0.9,-0.7,36.1
9 Iron,4,90.2,R1.9,29.2,7995,R11.8,7827,R1632,30.6,118.5,119.2,R14.4,50.7,L1.3,R2.7,-2.5,39.2
9 Iron,5,91.9,L2.5,26.8,7628,R8.6,7543,R1138,29.0,123.0,124.1,R3.0,49.1,L4.1,L2.2,-2.9,36.2
9 Iron,6,100.8,L3.7,25.3,7904,L1.9,7900,L259,33.2,137.2,138.1,L10.3,50.2,L2.6,L4.0,-2.8,34.3
9 Iron,7,90.6,L0.1,25.5,8616,R14.2,8353,R2114,26.7,120.2,121.0,R12.6,47.7,L3.4,R0.7,-2.9,34.5
9 Iron,8,102.1,L3.3,26.3,7644,L1.6,7641,L215,35.3,139.0,139.7,L9.2,51.2,L1.9,L3.6,-2.1,35.4
9 Iron,9,92.5,L2.0,29.2,5324,L3.0,5317,L277,32.2,127.9,130.1,L6.9,51.1,R0.1,L2.6,2.2,38.0
9 Iron,10,95.3,L0.6,29.0,8009,R4.5,7984,R632,34.1,126.4,127.0,R3.6,51.8,L3.1,R0.0,-1.6,38.7
9 Iron,11,102.1,L6.4,26.7,6917,L12.6,6752,L1503,35.3,140.1,141.2,L28.5,51.3,R0.6,L8.1,0.3,35.3
9 Iron,12,96.8,R2.6,0.1,1921,R44.2,1377,R1339,0.0,0.7,117.8,R0.0,0.1,R5.3,R2.6,-0.5,0.8
9 Iron,13,99.9,R1.9,29.2,8030,R2.1,8025,R297,37.8,132.8,133.2,R6.4,53.0,R0.8,R2.1,1.4,38.3
9 Iron,14,92.4,R0.8,31.7,8921,R11.7,8736,R1807,35.3,118.5,118.4,R13.4,53.4,L5.4,R2.4,-1.1,42.0
9 Iron,15,102.6,L4.5,28.7,6902,L5.8,6867,L696,38.9,139.5,140.3,L17.0,53.1,L0.8,L5.5,0.1,38.0
9 Iron,16,97.1,L0.0,30.0,7611,R5.5,7576,R730,36.4,128.5,129.1,R6.0,52.8,L2.8,R0.7,0.5,39.5
9 Iron,17,95.7,R0.8,28.1,9695,R10.9,9519,R1839,33.8,125.5,125.3,R13.5,51.9,L1.8,R1.4,-1.1,37.5
9 Iron,18,93.0,L0.4,29.2,8525,R7.1,8459,R1056,33.0,122.2,122.7,R6.4,51.6,L4.2,R0.5,-0.7,38.8
9 Iron,19,110.7,L5.0,27.8,7660,L9.6,7551,L1283,43.6,149.5,149.9,L25.4,54.0,L0.0,L6.2,-0.5,37.1
9 Iron,20,106.1,L3.0,26.2,7618,L10.0,7501,L1329,37.8,144.7,145.3,L19.6,52.0,R2.0,L4.2,-1.0,35.1
9 Iron,21,103.6,L0.3,28.8,9079,L3.0,9067,L467,40.6,136.6,136.6,L4.5,53.7,R1.5,L0.7,0.5,38.1
9 Iron,22,89.7,R1.8,29.4,7814,R4.3,7792,R589,30.7,117.9,118.7,R7.3,50.8,R4.6,R1.8,1.3,38.5
9 Iron,23,92.3,R0.6,29.8,7939,R2.2,7933,R306,33.0,121.5,122.0,R3.4,51.8,R0.9,R1.2,1.5,38.9
9 Iron,24,95.3,L2.3,28.0,8274,R4.3,8250,R624,33.1,127.1,127.6,L0.1,51.2,L4.2,L1.8,-1.4,37.4
9 Iron,25,95.2,L2.5,29.1,6047,L2.5,6042,L259,34.0,130.1,131.7,L7.6,51.7,L1.1,L2.8,-0.1,38.4
9 Iron,26,93.9,R0.1,30.0,5873,R2.8,5867,R282,34.1,127.8,129.3,R2.8,52.1,L0.9,R0.3,0.0,39.6
9 Iron,27,100.6,L4.7,25.0,7867,R0.5,7866,R73,32.6,137.2,138.1,L9.7,49.8,L3.9,L4.2,-1.3,33.5
9 Iron,28,92.5,0.0,27.1,9768,R12.3,9544,R2080,30.2,121.1,121.1,R12.3,50.2,L4.5,R1.1,-1.8,36.3
9 Iron,29,103.6,L2.8,27.4,8209,R1.0,8208,R139,38.2,139.3,139.7,L5.0,52.5,L3.2,L2.7,-1.0,36.7
9 Iron,30,91.8,R1.6,30.7,8927,R9.6,8802,R1490,33.9,118.7,118.7,R12.5,52.6,L1.7,R2.4,-1.5,40.9
9 Iron,31,99.1,R1.7,30.4,8040,R9.3,7935,R1297,38.4,130.2,130.5,R14.2,53.6,L3.4,R3.0,0.1,40.2
9 Iron,32,100.1,L4.3,26.4,7629,L10.5,7501,L1387,33.7,135.5,136.5,L21.1,50.7,R3.8,L6.4,0.6,34.8
9 Iron,33,100.2,L1.7,28.3,8359,R3.7,8342,R539,36.9,133.8,134.1,R0.8,52.5,L2.5,L1.4,-0.4,37.5
9 Iron,34,102.7,L2.4,28.6,7773,L2.3,7767,L317,38.9,137.6,138.1,L8.0,53.0,L1.2,L2.7,-0.4,38.0
9 Iron,35,98.4,L0.2,29.5,6940,R5.4,6909,R656,36.7,132.4,133.2,R5.5,52.8,L2.1,R0.2,0.3,38.9
9 Iron,36,90.7,L2.2,28.2,6272,L3.8,6258,L416,29.6,122.4,124.1,L7.7,49.8,R2.2,L3.4,1.7,36.8
9 Iron,37,102.7,L6.2,27.4,7174,L8.2,7101,L1023,37.0,139.7,140.7,L23.6,52.1,L1.7,L7.4,-0.1,36.4
9 Iron,38,99.8,R1.6,26.5,7375,L7.2,7317,L921,33.8,135.7,136.7,L4.5,50.8,R5.1,R0.8,-1.7,35.6
9 Iron,39,100.4,R0.3,24.9,7388,L6.9,7334,L892,32.1,137.6,138.8,L7.2,49.6,R5.9,L1.1,-1.6,33.5
